,parcode,trial,fix_item,fix_time
1241,3,44,2,953
1242,3,44,1,833
1243,3,45,3,317
1244,3,45,1,610
1245,3,45,2,749
1246,3,46,3,249
1247,3,46,1,528
1248,3,46,2,644
1249,3,46,1,786
1251,3,47,2,675
1252,3,47,1,818
1253,3,48,3,283
1254,3,48,2,772
1255,3,48,1,1602
1256,3,48,2,1270
1257,3,48,1,550
1258,3,48,2,591
1260,3,49,2,979
1261,3,49,1,1374
1262,3,49,2,759
1263,3,50,3,188
1264,3,50,1,634
1265,3,50,2,1476
1266,3,50,1,780
1267,3,50,2,1061
1268,3,51,3,379
1269,3,51,1,840
1270,3,51,2,1093
1271,3,52,3,228
1272,3,52,1,816
1273,3,52,2,698
1274,3,52,1,1110
1275,3,53,3,275
1276,3,53,1,402
1277,3,53,2,1144
1278,3,53,1,1100
1279,3,53,2,105
1280,3,54,3,245
1281,3,54,2,434
1282,3,54,1,894
1283,3,54,2,1681
1285,3,55,2,569
1286,3,55,1,1814
1287,3,56,3,226
1288,3,56,2,470
1289,3,56,1,1036
1290,3,56,2,537
1292,3,57,2,639
1293,3,57,1,872
1294,3,58,3,288
1295,3,58,1,478
1296,3,58,2,1946
1297,3,58,1,948
1298,3,58,0,286
1299,3,58,1,746
1300,3,58,2,2140
1301,3,58,1,1536
1302,3,58,2,3796
1303,3,58,0,614
1304,3,58,1,334
1305,3,58,2,1258
1306,3,58,1,404
1307,3,59,3,167
1308,3,59,2,78
1309,3,59,1,922
1310,3,59,2,966
1312,3,60,2,1604
1313,3,60,1,1060
1314,3,60,2,1240
1315,3,61,3,225
1316,3,61,1,118
1317,3,61,2,170
1318,3,61,1,160
1319,3,61,2,606
1320,3,61,1,926
1321,3,61,2,1068
1322,3,61,1,602
1323,3,62,3,189
1324,3,62,2,686
1325,3,62,1,946
1326,3,62,2,1059
1328,3,63,2,590
1329,3,63,1,1216
1331,3,64,2,1028
1332,3,64,1,1235
1334,3,65,2,493
1335,3,65,1,1726
1336,3,65,2,2650
1337,3,65,1,890
1338,3,65,2,434
1339,3,65,0,760
1340,3,65,2,778
1342,3,66,2,532
1343,3,66,1,1014
1344,3,66,0,350
1345,3,66,2,1155
1346,3,67,3,204
1347,3,67,2,108
1348,3,67,1,166
1349,3,67,2,178
1350,3,67,1,136
1351,3,67,2,820
1352,3,67,1,930
1353,3,68,3,197
1354,3,68,1,584
1355,3,68,2,950
1356,3,68,1,634
1357,3,68,2,638
1359,3,69,2,1462
1360,3,69,1,1068
1361,3,69,2,346
1363,3,70,2,605
1364,3,70,1,1014
1365,3,70,2,373
1367,3,71,2,500
