,LVal,RVal,AbsDVal,TotVal,AbsDEv,RTsim,Correct_sim,Choice_sim,Conf_human,zConf_human
2762,0.95,0.5,0.44999999999999996,1.45,1.2898483232724378,1407.0,1,0.0,92,0.8766859689557958
2763,2.3,0.0,2.3,2.3,0.7580440414912998,2114.0,1,0.0,38,-1.0768646083597324
2764,0.5,2.6,2.1,3.1,0.5485799250214853,3166.0,1,1.0,34,-1.2215720585312528
2765,2.0,0.05,1.95,2.05,1.6558195082359064,1453.0,1,0.0,94,0.949039694041556
2766,1.1,0.2,0.9000000000000001,1.3,0.4598477388635498,2138.0,0,1.0,58,-0.35332735750212946
2767,1.25,0.35,0.9,1.6,1.271833080070368,1429.0,1,0.0,42,-0.932157158188212
2768,2.75,2.15,0.6000000000000001,4.9,0.4023116839731762,2890.0,0,1.0,46,-0.7874497080166912
2769,0.05,0.2,0.15000000000000002,0.25,0.2991277047072687,2362.0,1,1.0,34,-1.2215720585312528
2770,0.65,0.0,0.65,0.65,0.5115955483329029,1518.0,0,1.0,74,0.22550244318395304
2771,0.0,1.4,1.4,1.4,0.917770133661953,672.0,1,1.0,16,-1.872755584303096
2772,0.2,1.95,1.75,2.15,1.0831579261696218,1181.0,1,1.0,100,1.1661008692988368
